session_id,run_label,template_name,link_id,parent_canonical,child_canonical,feature_scope,stage04_parent_qc_status,stage04_child_qc_status,stage05_parent_sign_status,stage05_child_sign_status,stage06_reconstruction_status,stage06_max_reconstruction_error_deg,stage06_relative_sign_status,stage07_branch_cut_status,stage07_max_rotvec_norm,stage07_jump_status,stage07_max_jump_rad,stage08_policy,notes
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J038,RHand,RPinky1,excluded_distal,pass,pass,pass,pass,pass,3.325753839475246e-14,pass,pass,1.7118993925179806,warning,0.5157438194666941,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J039,RPinky1,RPinky2,excluded_distal,pass,pass,pass,pass,pass,3.205454719667711e-14,pass,pass,2.0400016224919133,warning,0.5937067339667228,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J040,RPinky2,RPinky3,excluded_distal,pass,pass,pass,pass,pass,3.0023254837954296e-14,pass,pass,0.8500014511495659,pass,0.24737603375888292,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J041,RHand,RRing1,excluded_distal,pass,pass,pass,pass,pass,2.917510717326639e-14,pass,pass,1.721972314737241,warning,0.8797141637988538,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J042,RRing1,RRing2,excluded_distal,pass,pass,pass,pass,pass,3.8455763747647726e-14,pass,pass,2.040002381579839,fail,1.0539911722473223,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J043,RRing2,RRing3,excluded_distal,pass,pass,pass,pass,pass,2.8984214511834985e-14,pass,pass,0.8500008443012166,pass,0.43916290670071545,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J044,RThigh,RShin,core_candidate,pass,pass,pass,pass,pass,2.9276951119494096e-14,pass,pass,2.383675745596917,pass,0.12666901777626613,allow_filter,shin core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J045,Chest,RShoulder,core_candidate,pass,pass,pass,pass,pass,2.319164509270892e-14,pass,pass,0.6837258044777625,pass,0.08464143685841463,allow_filter,shoulder core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J046,671,RThigh,core_candidate,pass,pass,pass,pass,pass,3.3623464204765434e-14,pass,pass,1.6733802711241597,pass,0.10368235572298322,allow_filter,Defensible Motive hip/top-segment-to-thigh link: asset-name-labeled Motive hip/top skeleton segment (`671`); Motive documents this as the skeleton hip; export naming may follow Asset Hip Name
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J047,RHand,RThumb1,excluded_distal,pass,pass,pass,pass,pass,3.3703101218789065e-14,pass,pass,1.3989884249998787,pass,0.23839164220068373,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J048,RThumb1,RThumb2,excluded_distal,pass,pass,pass,pass,pass,2.971282715604269e-14,pass,pass,1.0355043470863854,pass,0.08785273836687438,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J049,RThumb2,RThumb3,excluded_distal,pass,pass,pass,pass,pass,2.5664598529880057e-14,pass,pass,0.5000014570396186,pass,0.08784998343869953,excluded_from_analysis,distal finger chain excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J050,RFoot,RToe,excluded_toe,pass,pass,pass,pass,pass,2.7151583658619962e-14,pass,pass,0.29627566797996946,pass,0.053075280439464245,excluded_from_analysis,toe link excluded from likely V0 analysis set
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J051,RShoulder,RUArm,core_candidate,pass,pass,pass,pass,pass,2.9039632573252325e-14,pass,pass,1.3785117225860755,pass,0.18651514634656605,allow_filter,upper arm core candidate
671_T2_P1_R1,671_T2_P1_R1_Take_2026-01-15_04.35.25_PM_005,Core + Passive Fingers (54),J001,Root,671,skipped,missing,pass,missing,pass,missing,,missing,skipped,,skipped,,excluded_from_analysis,parent is Root anchor (no global quaternion expected)
