joint_id,parent_bone,child_bone,source_parent_bone,source_child_bone,included_in_v0,selection_status,requires_manual_review,link_classification,core_candidate,excluded_candidate,link_group,total_frames,finite_rotvec_rows,non_finite_rotvec_rows,min_rotvec_norm,mean_rotvec_norm,median_rotvec_norm,max_rotvec_norm,p95_rotvec_norm,p99_rotvec_norm,near_pi_count,near_pi_percent,max_frame_to_frame_jump,p95_frame_to_frame_jump,p99_frame_to_frame_jump,large_jump_count,large_jump_percent,first_large_jump_frame,branch_cut_status,jump_status,stage08_may_proceed_for_link
J037,RMiddle2,RMiddle3,T3_671:RMiddle2,T3_671:RMiddle3,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,5.817231298248664e-06,0.06411409437186948,0.06137110787402089,0.3911542372625424,0.14166242497504,0.20149240563372517,0,0.0,0.17939809387118735,0.003625008884937034,0.00629512679509747,0,0.0,,pass,pass,True
J038,RHand,RPinky1,T3_671:RHand,T3_671:RPinky1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.17627194348914937,0.36476017340508926,0.2771475843074548,1.62947133313865,0.9334237046154543,1.354637019990502,0,0.0,0.22570302615585427,0.021967989180117525,0.03539058892470156,0,0.0,,pass,pass,True
J039,RPinky1,RPinky2,T3_671:RPinky1,T3_671:RPinky2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,9.023234251878325e-06,0.30331873321437236,0.1909344652398925,1.9142555210352146,1.0823915911707718,1.5794347790678702,0,0.0,0.12814373865028372,0.024707584734398443,0.039626127461476375,0,0.0,,pass,pass,True
J040,RPinky2,RPinky3,T3_671:RPinky2,T3_671:RPinky3,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,3.0236627506774368e-06,0.12638279696335883,0.0795566268258941,0.7976054301447938,0.45099754985792456,0.6580984976790624,0,0.0,0.05339140556298609,0.010295583196353025,0.016511731882668332,0,0.0,,pass,pass,True
J041,RHand,RRing1,T3_671:RHand,T3_671:RRing1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.09200089712084289,0.29268138518594644,0.24760468376032774,1.057832564963403,0.6167622390899761,0.8895029149140274,0,0.0,0.24512041946133506,0.013568510538821708,0.02156966020704036,0,0.0,,pass,pass,True
J042,RRing1,RRing2,T3_671:RRing1,T3_671:RRing2,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,8.286905127001678e-05,0.21503912507197961,0.16891888106756986,1.2348140582076188,0.6911831514584498,1.014930908872528,0,0.0,0.20734515876153511,0.014835337690276595,0.024738326765213356,0,0.0,,pass,pass,True
J043,RRing2,RRing3,T3_671:RRing2,T3_671:RRing3,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,3.502976189107865e-05,0.08959964104096911,0.07038259552285485,0.5145065698640592,0.28799261983194324,0.42288825625763304,0,0.0,0.08639501523921775,0.00617916276372184,0.010307840022462676,0,0.0,,pass,pass,True
J044,RThigh,RShin,T3_671:RThigh,T3_671:RShin,True,provisional_v0,False,shin,True,False,core_candidate,31392,31392,0,3.99999950523677e-06,0.2506943949195571,0.06575660572252182,2.126749686740497,1.0695932852208447,1.6856530336233646,0,0.0,0.11942149548577309,0.02022598736123893,0.044180106932933255,0,0.0,,pass,pass,True
J045,Chest,RShoulder,T3_671:Chest,T3_671:RShoulder,True,provisional_v0,False,shoulder,True,False,core_candidate,31392,31392,0,0.0034882137932999912,0.1723009328910419,0.15547465093943313,0.5309356523721459,0.3315387960503606,0.4067279250764003,0,0.0,0.06864749409888296,0.01715922788443545,0.028279859931206325,0,0.0,,pass,pass,True
J046,T3_671,RThigh,T3_671:T3_671,T3_671:RThigh,True,provisional_v0,False,hip_top_segment_to_thigh,True,False,core_candidate,31392,31392,0,0.0066941976708984165,0.28847811673737167,0.15058740821286232,1.649759910131269,0.9640410151359188,1.4115363250742297,0,0.0,0.11093564401918493,0.023475149916671125,0.04298216148091937,0,0.0,,pass,pass,True
J047,RHand,RThumb1,T3_671:RHand,T3_671:RThumb1,False,provisional_v0,False,finger,False,True,excluded,31392,31392,0,0.8560417892084737,1.052300799000505,1.0276670285726675,1.404627233098364,1.2082411581891563,1.2521834633617432,0,0.0,0.205714508416918,0.023178846915989215,0.04674228272143008,0,0.0,,pass,pass,True
