column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
154,col0154__Bone__671_LPinky1__Position__Y,Bone,671:LPinky1,FFBF72DEB1411F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
155,col0155__Bone__671_LPinky1__Position__Z,Bone,671:LPinky1,FFBF72DEB1411F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
160,col0160__Bone__671_LPinky2__Position__X,Bone,671:LPinky2,FFBF72EEB1411F0:90AFB54A3B8C3080,671:LPinky1,Position,X,bone_position,False,Bone position ignored for Layer 2
161,col0161__Bone__671_LPinky2__Position__Y,Bone,671:LPinky2,FFBF72EEB1411F0:90AFB54A3B8C3080,671:LPinky1,Position,Y,bone_position,False,Bone position ignored for Layer 2
162,col0162__Bone__671_LPinky2__Position__Z,Bone,671:LPinky2,FFBF72EEB1411F0:90AFB54A3B8C3080,671:LPinky1,Position,Z,bone_position,False,Bone position ignored for Layer 2
167,col0167__Bone__671_LPinky3__Position__X,Bone,671:LPinky3,FFBF72FEB1411F0:90AFB54A3B8C3080,671:LPinky2,Position,X,bone_position,False,Bone position ignored for Layer 2
168,col0168__Bone__671_LPinky3__Position__Y,Bone,671:LPinky3,FFBF72FEB1411F0:90AFB54A3B8C3080,671:LPinky2,Position,Y,bone_position,False,Bone position ignored for Layer 2
169,col0169__Bone__671_LPinky3__Position__Z,Bone,671:LPinky3,FFBF72FEB1411F0:90AFB54A3B8C3080,671:LPinky2,Position,Z,bone_position,False,Bone position ignored for Layer 2
174,col0174__Bone__671_RShoulder__Position__X,Bone,671:RShoulder,FFBF711EB1411F0:90AFB54A3B8C3080,671:Chest,Position,X,bone_position,False,Bone position ignored for Layer 2
175,col0175__Bone__671_RShoulder__Position__Y,Bone,671:RShoulder,FFBF711EB1411F0:90AFB54A3B8C3080,671:Chest,Position,Y,bone_position,False,Bone position ignored for Layer 2
176,col0176__Bone__671_RShoulder__Position__Z,Bone,671:RShoulder,FFBF711EB1411F0:90AFB54A3B8C3080,671:Chest,Position,Z,bone_position,False,Bone position ignored for Layer 2
181,col0181__Bone__671_RUArm__Position__X,Bone,671:RUArm,FFBF712EB1411F0:90AFB54A3B8C3080,671:RShoulder,Position,X,bone_position,False,Bone position ignored for Layer 2
182,col0182__Bone__671_RUArm__Position__Y,Bone,671:RUArm,FFBF712EB1411F0:90AFB54A3B8C3080,671:RShoulder,Position,Y,bone_position,False,Bone position ignored for Layer 2
183,col0183__Bone__671_RUArm__Position__Z,Bone,671:RUArm,FFBF712EB1411F0:90AFB54A3B8C3080,671:RShoulder,Position,Z,bone_position,False,Bone position ignored for Layer 2
188,col0188__Bone__671_RFArm__Position__X,Bone,671:RFArm,FFBF713EB1411F0:90AFB54A3B8C3080,671:RUArm,Position,X,bone_position,False,Bone position ignored for Layer 2
189,col0189__Bone__671_RFArm__Position__Y,Bone,671:RFArm,FFBF713EB1411F0:90AFB54A3B8C3080,671:RUArm,Position,Y,bone_position,False,Bone position ignored for Layer 2
190,col0190__Bone__671_RFArm__Position__Z,Bone,671:RFArm,FFBF713EB1411F0:90AFB54A3B8C3080,671:RUArm,Position,Z,bone_position,False,Bone position ignored for Layer 2
195,col0195__Bone__671_RHand__Position__X,Bone,671:RHand,FFBF714EB1411F0:90AFB54A3B8C3080,671:RFArm,Position,X,bone_position,False,Bone position ignored for Layer 2
196,col0196__Bone__671_RHand__Position__Y,Bone,671:RHand,FFBF714EB1411F0:90AFB54A3B8C3080,671:RFArm,Position,Y,bone_position,False,Bone position ignored for Layer 2
197,col0197__Bone__671_RHand__Position__Z,Bone,671:RHand,FFBF714EB1411F0:90AFB54A3B8C3080,671:RFArm,Position,Z,bone_position,False,Bone position ignored for Layer 2
202,col0202__Bone__671_RThumb1__Position__X,Bone,671:RThumb1,FFBF731EB1411F0:90AFB54A3B8C3080,671:RHand,Position,X,bone_position,False,Bone position ignored for Layer 2
203,col0203__Bone__671_RThumb1__Position__Y,Bone,671:RThumb1,FFBF731EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
204,col0204__Bone__671_RThumb1__Position__Z,Bone,671:RThumb1,FFBF731EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
209,col0209__Bone__671_RThumb2__Position__X,Bone,671:RThumb2,FFBF732EB1411F0:90AFB54A3B8C3080,671:RThumb1,Position,X,bone_position,False,Bone position ignored for Layer 2
210,col0210__Bone__671_RThumb2__Position__Y,Bone,671:RThumb2,FFBF732EB1411F0:90AFB54A3B8C3080,671:RThumb1,Position,Y,bone_position,False,Bone position ignored for Layer 2
211,col0211__Bone__671_RThumb2__Position__Z,Bone,671:RThumb2,FFBF732EB1411F0:90AFB54A3B8C3080,671:RThumb1,Position,Z,bone_position,False,Bone position ignored for Layer 2
216,col0216__Bone__671_RThumb3__Position__X,Bone,671:RThumb3,FFBF733EB1411F0:90AFB54A3B8C3080,671:RThumb2,Position,X,bone_position,False,Bone position ignored for Layer 2
217,col0217__Bone__671_RThumb3__Position__Y,Bone,671:RThumb3,FFBF733EB1411F0:90AFB54A3B8C3080,671:RThumb2,Position,Y,bone_position,False,Bone position ignored for Layer 2
218,col0218__Bone__671_RThumb3__Position__Z,Bone,671:RThumb3,FFBF733EB1411F0:90AFB54A3B8C3080,671:RThumb2,Position,Z,bone_position,False,Bone position ignored for Layer 2
223,col0223__Bone__671_RIndex1__Position__X,Bone,671:RIndex1,FFBF735EB1411F0:90AFB54A3B8C3080,671:RHand,Position,X,bone_position,False,Bone position ignored for Layer 2
224,col0224__Bone__671_RIndex1__Position__Y,Bone,671:RIndex1,FFBF735EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
225,col0225__Bone__671_RIndex1__Position__Z,Bone,671:RIndex1,FFBF735EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
230,col0230__Bone__671_RIndex2__Position__X,Bone,671:RIndex2,FFBF736EB1411F0:90AFB54A3B8C3080,671:RIndex1,Position,X,bone_position,False,Bone position ignored for Layer 2
231,col0231__Bone__671_RIndex2__Position__Y,Bone,671:RIndex2,FFBF736EB1411F0:90AFB54A3B8C3080,671:RIndex1,Position,Y,bone_position,False,Bone position ignored for Layer 2
232,col0232__Bone__671_RIndex2__Position__Z,Bone,671:RIndex2,FFBF736EB1411F0:90AFB54A3B8C3080,671:RIndex1,Position,Z,bone_position,False,Bone position ignored for Layer 2
237,col0237__Bone__671_RIndex3__Position__X,Bone,671:RIndex3,FFBF737EB1411F0:90AFB54A3B8C3080,671:RIndex2,Position,X,bone_position,False,Bone position ignored for Layer 2
238,col0238__Bone__671_RIndex3__Position__Y,Bone,671:RIndex3,FFBF737EB1411F0:90AFB54A3B8C3080,671:RIndex2,Position,Y,bone_position,False,Bone position ignored for Layer 2
239,col0239__Bone__671_RIndex3__Position__Z,Bone,671:RIndex3,FFBF737EB1411F0:90AFB54A3B8C3080,671:RIndex2,Position,Z,bone_position,False,Bone position ignored for Layer 2
244,col0244__Bone__671_RMiddle1__Position__X,Bone,671:RMiddle1,FFBF739EB1411F0:90AFB54A3B8C3080,671:RHand,Position,X,bone_position,False,Bone position ignored for Layer 2
245,col0245__Bone__671_RMiddle1__Position__Y,Bone,671:RMiddle1,FFBF739EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
246,col0246__Bone__671_RMiddle1__Position__Z,Bone,671:RMiddle1,FFBF739EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
251,col0251__Bone__671_RMiddle2__Position__X,Bone,671:RMiddle2,FFBF73AEB1411F0:90AFB54A3B8C3080,671:RMiddle1,Position,X,bone_position,False,Bone position ignored for Layer 2
252,col0252__Bone__671_RMiddle2__Position__Y,Bone,671:RMiddle2,FFBF73AEB1411F0:90AFB54A3B8C3080,671:RMiddle1,Position,Y,bone_position,False,Bone position ignored for Layer 2
253,col0253__Bone__671_RMiddle2__Position__Z,Bone,671:RMiddle2,FFBF73AEB1411F0:90AFB54A3B8C3080,671:RMiddle1,Position,Z,bone_position,False,Bone position ignored for Layer 2
258,col0258__Bone__671_RMiddle3__Position__X,Bone,671:RMiddle3,FFBF73BEB1411F0:90AFB54A3B8C3080,671:RMiddle2,Position,X,bone_position,False,Bone position ignored for Layer 2
259,col0259__Bone__671_RMiddle3__Position__Y,Bone,671:RMiddle3,FFBF73BEB1411F0:90AFB54A3B8C3080,671:RMiddle2,Position,Y,bone_position,False,Bone position ignored for Layer 2
260,col0260__Bone__671_RMiddle3__Position__Z,Bone,671:RMiddle3,FFBF73BEB1411F0:90AFB54A3B8C3080,671:RMiddle2,Position,Z,bone_position,False,Bone position ignored for Layer 2
265,col0265__Bone__671_RRing1__Position__X,Bone,671:RRing1,FFBF73DEB1411F0:90AFB54A3B8C3080,671:RHand,Position,X,bone_position,False,Bone position ignored for Layer 2
266,col0266__Bone__671_RRing1__Position__Y,Bone,671:RRing1,FFBF73DEB1411F0:90AFB54A3B8C3080,671:RHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
267,col0267__Bone__671_RRing1__Position__Z,Bone,671:RRing1,FFBF73DEB1411F0:90AFB54A3B8C3080,671:RHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
272,col0272__Bone__671_RRing2__Position__X,Bone,671:RRing2,FFBF73EEB1411F0:90AFB54A3B8C3080,671:RRing1,Position,X,bone_position,False,Bone position ignored for Layer 2
273,col0273__Bone__671_RRing2__Position__Y,Bone,671:RRing2,FFBF73EEB1411F0:90AFB54A3B8C3080,671:RRing1,Position,Y,bone_position,False,Bone position ignored for Layer 2
274,col0274__Bone__671_RRing2__Position__Z,Bone,671:RRing2,FFBF73EEB1411F0:90AFB54A3B8C3080,671:RRing1,Position,Z,bone_position,False,Bone position ignored for Layer 2
279,col0279__Bone__671_RRing3__Position__X,Bone,671:RRing3,FFBF73FEB1411F0:90AFB54A3B8C3080,671:RRing2,Position,X,bone_position,False,Bone position ignored for Layer 2
280,col0280__Bone__671_RRing3__Position__Y,Bone,671:RRing3,FFBF73FEB1411F0:90AFB54A3B8C3080,671:RRing2,Position,Y,bone_position,False,Bone position ignored for Layer 2
281,col0281__Bone__671_RRing3__Position__Z,Bone,671:RRing3,FFBF73FEB1411F0:90AFB54A3B8C3080,671:RRing2,Position,Z,bone_position,False,Bone position ignored for Layer 2
286,col0286__Bone__671_RPinky1__Position__X,Bone,671:RPinky1,FFBF741EB1411F0:90AFB54A3B8C3080,671:RHand,Position,X,bone_position,False,Bone position ignored for Layer 2
287,col0287__Bone__671_RPinky1__Position__Y,Bone,671:RPinky1,FFBF741EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
288,col0288__Bone__671_RPinky1__Position__Z,Bone,671:RPinky1,FFBF741EB1411F0:90AFB54A3B8C3080,671:RHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
293,col0293__Bone__671_RPinky2__Position__X,Bone,671:RPinky2,FFBF742EB1411F0:90AFB54A3B8C3080,671:RPinky1,Position,X,bone_position,False,Bone position ignored for Layer 2
294,col0294__Bone__671_RPinky2__Position__Y,Bone,671:RPinky2,FFBF742EB1411F0:90AFB54A3B8C3080,671:RPinky1,Position,Y,bone_position,False,Bone position ignored for Layer 2
295,col0295__Bone__671_RPinky2__Position__Z,Bone,671:RPinky2,FFBF742EB1411F0:90AFB54A3B8C3080,671:RPinky1,Position,Z,bone_position,False,Bone position ignored for Layer 2
300,col0300__Bone__671_RPinky3__Position__X,Bone,671:RPinky3,FFBF743EB1411F0:90AFB54A3B8C3080,671:RPinky2,Position,X,bone_position,False,Bone position ignored for Layer 2
301,col0301__Bone__671_RPinky3__Position__Y,Bone,671:RPinky3,FFBF743EB1411F0:90AFB54A3B8C3080,671:RPinky2,Position,Y,bone_position,False,Bone position ignored for Layer 2
302,col0302__Bone__671_RPinky3__Position__Z,Bone,671:RPinky3,FFBF743EB1411F0:90AFB54A3B8C3080,671:RPinky2,Position,Z,bone_position,False,Bone position ignored for Layer 2
307,col0307__Bone__671_LThigh__Position__X,Bone,671:LThigh,FFBF715EB1411F0:90AFB54A3B8C3080,671:671,Position,X,bone_position,False,Bone position ignored for Layer 2
308,col0308__Bone__671_LThigh__Position__Y,Bone,671:LThigh,FFBF715EB1411F0:90AFB54A3B8C3080,671:671,Position,Y,bone_position,False,Bone position ignored for Layer 2
309,col0309__Bone__671_LThigh__Position__Z,Bone,671:LThigh,FFBF715EB1411F0:90AFB54A3B8C3080,671:671,Position,Z,bone_position,False,Bone position ignored for Layer 2
314,col0314__Bone__671_LShin__Position__X,Bone,671:LShin,FFBF716EB1411F0:90AFB54A3B8C3080,671:LThigh,Position,X,bone_position,False,Bone position ignored for Layer 2
315,col0315__Bone__671_LShin__Position__Y,Bone,671:LShin,FFBF716EB1411F0:90AFB54A3B8C3080,671:LThigh,Position,Y,bone_position,False,Bone position ignored for Layer 2
316,col0316__Bone__671_LShin__Position__Z,Bone,671:LShin,FFBF716EB1411F0:90AFB54A3B8C3080,671:LThigh,Position,Z,bone_position,False,Bone position ignored for Layer 2
321,col0321__Bone__671_LFoot__Position__X,Bone,671:LFoot,FFBF717EB1411F0:90AFB54A3B8C3080,671:LShin,Position,X,bone_position,False,Bone position ignored for Layer 2
322,col0322__Bone__671_LFoot__Position__Y,Bone,671:LFoot,FFBF717EB1411F0:90AFB54A3B8C3080,671:LShin,Position,Y,bone_position,False,Bone position ignored for Layer 2
323,col0323__Bone__671_LFoot__Position__Z,Bone,671:LFoot,FFBF717EB1411F0:90AFB54A3B8C3080,671:LShin,Position,Z,bone_position,False,Bone position ignored for Layer 2
328,col0328__Bone__671_LToe__Position__X,Bone,671:LToe,FFBF718EB1411F0:90AFB54A3B8C3080,671:LFoot,Position,X,bone_position,False,Bone position ignored for Layer 2
329,col0329__Bone__671_LToe__Position__Y,Bone,671:LToe,FFBF718EB1411F0:90AFB54A3B8C3080,671:LFoot,Position,Y,bone_position,False,Bone position ignored for Layer 2
330,col0330__Bone__671_LToe__Position__Z,Bone,671:LToe,FFBF718EB1411F0:90AFB54A3B8C3080,671:LFoot,Position,Z,bone_position,False,Bone position ignored for Layer 2
335,col0335__Bone__671_RThigh__Position__X,Bone,671:RThigh,FFBF719EB1411F0:90AFB54A3B8C3080,671:671,Position,X,bone_position,False,Bone position ignored for Layer 2
336,col0336__Bone__671_RThigh__Position__Y,Bone,671:RThigh,FFBF719EB1411F0:90AFB54A3B8C3080,671:671,Position,Y,bone_position,False,Bone position ignored for Layer 2
337,col0337__Bone__671_RThigh__Position__Z,Bone,671:RThigh,FFBF719EB1411F0:90AFB54A3B8C3080,671:671,Position,Z,bone_position,False,Bone position ignored for Layer 2
342,col0342__Bone__671_RShin__Position__X,Bone,671:RShin,FFBF71AEB1411F0:90AFB54A3B8C3080,671:RThigh,Position,X,bone_position,False,Bone position ignored for Layer 2
343,col0343__Bone__671_RShin__Position__Y,Bone,671:RShin,FFBF71AEB1411F0:90AFB54A3B8C3080,671:RThigh,Position,Y,bone_position,False,Bone position ignored for Layer 2
344,col0344__Bone__671_RShin__Position__Z,Bone,671:RShin,FFBF71AEB1411F0:90AFB54A3B8C3080,671:RThigh,Position,Z,bone_position,False,Bone position ignored for Layer 2
