column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
69,col0069__Bone__671_LThumb1__Position__X,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
70,col0070__Bone__671_LThumb1__Position__Y,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
71,col0071__Bone__671_LThumb1__Position__Z,Bone,671:LThumb1,FA716B5EF22E11F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
72,col0072__Bone__671_LThumb2__Rotation__X,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
73,col0073__Bone__671_LThumb2__Rotation__Y,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
74,col0074__Bone__671_LThumb2__Rotation__Z,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
75,col0075__Bone__671_LThumb2__Rotation__W,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
76,col0076__Bone__671_LThumb2__Position__X,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Position,X,bone_position,False,Bone position ignored for Layer 2
77,col0077__Bone__671_LThumb2__Position__Y,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Position,Y,bone_position,False,Bone position ignored for Layer 2
78,col0078__Bone__671_LThumb2__Position__Z,Bone,671:LThumb2,FA716B5FF22E11F0:90AFB54A3B8C3080,671:LThumb1,Position,Z,bone_position,False,Bone position ignored for Layer 2
79,col0079__Bone__671_LThumb3__Rotation__X,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
80,col0080__Bone__671_LThumb3__Rotation__Y,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
81,col0081__Bone__671_LThumb3__Rotation__Z,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
82,col0082__Bone__671_LThumb3__Rotation__W,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
83,col0083__Bone__671_LThumb3__Position__X,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Position,X,bone_position,False,Bone position ignored for Layer 2
84,col0084__Bone__671_LThumb3__Position__Y,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Position,Y,bone_position,False,Bone position ignored for Layer 2
85,col0085__Bone__671_LThumb3__Position__Z,Bone,671:LThumb3,FA716B60F22E11F0:90AFB54A3B8C3080,671:LThumb2,Position,Z,bone_position,False,Bone position ignored for Layer 2
86,col0086__Bone__671_LIndex1__Rotation__X,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
87,col0087__Bone__671_LIndex1__Rotation__Y,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
88,col0088__Bone__671_LIndex1__Rotation__Z,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
89,col0089__Bone__671_LIndex1__Rotation__W,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
90,col0090__Bone__671_LIndex1__Position__X,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
91,col0091__Bone__671_LIndex1__Position__Y,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
92,col0092__Bone__671_LIndex1__Position__Z,Bone,671:LIndex1,FA716B62F22E11F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
93,col0093__Bone__671_LIndex2__Rotation__X,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
94,col0094__Bone__671_LIndex2__Rotation__Y,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
95,col0095__Bone__671_LIndex2__Rotation__Z,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
96,col0096__Bone__671_LIndex2__Rotation__W,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
97,col0097__Bone__671_LIndex2__Position__X,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Position,X,bone_position,False,Bone position ignored for Layer 2
98,col0098__Bone__671_LIndex2__Position__Y,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Position,Y,bone_position,False,Bone position ignored for Layer 2
99,col0099__Bone__671_LIndex2__Position__Z,Bone,671:LIndex2,FA716B63F22E11F0:90AFB54A3B8C3080,671:LIndex1,Position,Z,bone_position,False,Bone position ignored for Layer 2
100,col0100__Bone__671_LIndex3__Rotation__X,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
101,col0101__Bone__671_LIndex3__Rotation__Y,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
102,col0102__Bone__671_LIndex3__Rotation__Z,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
103,col0103__Bone__671_LIndex3__Rotation__W,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
104,col0104__Bone__671_LIndex3__Position__X,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Position,X,bone_position,False,Bone position ignored for Layer 2
105,col0105__Bone__671_LIndex3__Position__Y,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Position,Y,bone_position,False,Bone position ignored for Layer 2
106,col0106__Bone__671_LIndex3__Position__Z,Bone,671:LIndex3,FA716B64F22E11F0:90AFB54A3B8C3080,671:LIndex2,Position,Z,bone_position,False,Bone position ignored for Layer 2
107,col0107__Bone__671_LMiddle1__Rotation__X,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
108,col0108__Bone__671_LMiddle1__Rotation__Y,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
109,col0109__Bone__671_LMiddle1__Rotation__Z,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
110,col0110__Bone__671_LMiddle1__Rotation__W,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
111,col0111__Bone__671_LMiddle1__Position__X,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
112,col0112__Bone__671_LMiddle1__Position__Y,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
113,col0113__Bone__671_LMiddle1__Position__Z,Bone,671:LMiddle1,FA716B66F22E11F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
114,col0114__Bone__671_LMiddle2__Rotation__X,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
115,col0115__Bone__671_LMiddle2__Rotation__Y,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
116,col0116__Bone__671_LMiddle2__Rotation__Z,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
117,col0117__Bone__671_LMiddle2__Rotation__W,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
118,col0118__Bone__671_LMiddle2__Position__X,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Position,X,bone_position,False,Bone position ignored for Layer 2
119,col0119__Bone__671_LMiddle2__Position__Y,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Position,Y,bone_position,False,Bone position ignored for Layer 2
120,col0120__Bone__671_LMiddle2__Position__Z,Bone,671:LMiddle2,FA716B67F22E11F0:90AFB54A3B8C3080,671:LMiddle1,Position,Z,bone_position,False,Bone position ignored for Layer 2
121,col0121__Bone__671_LMiddle3__Rotation__X,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
