start_frame,end_frame,start_s,end_s,duration_s,reason,criterion,affected_markers,has_gap_ge_0p5,has_gap_0p2,has_artifact_sigma,has_segment_swap,has_edge_effect
29237,29237,243.6417,243.6417,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LHandIn,False,False,True,False,False
29313,29313,244.275,244.275,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RHeel,False,False,True,False,False
29403,29403,245.025,245.025,0.0,ARTIFACT_SIGMA,artifact_sigma,671:BackTop,False,False,True,False,False
29408,29408,245.0667,245.0667,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LHandIn,False,False,True,False,False
29428,29428,245.2333,245.2333,0.0,SEGMENT_SWAP,segment_swap,RHandIn__RWristOut,False,False,False,True,False
29447,29447,245.3917,245.3917,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LKneeOut;671:RHandIn,False,False,True,False,False
29450,29450,245.4167,245.4167,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LThighSide,False,False,True,False,False
29466,29466,245.55,245.55,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RUArmHigh,False,False,True,False,False
29485,29485,245.7083,245.7083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LShoulderTop,False,False,True,False,False
29508,29508,245.9,245.9,0.0,ARTIFACT_SIGMA;SEGMENT_SWAP,segment_swap,671:LUArmHigh;RHandIn__RHandOut,False,False,True,True,False
29509,29509,245.9083,245.9083,0.0,SEGMENT_SWAP,segment_swap,RHandIn__RHandOut,False,False,False,True,False
29511,29511,245.925,245.925,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LWristOut;671:RHandIn,False,False,True,False,False
29525,29525,246.0417,246.0417,0.0,ARTIFACT_SIGMA,artifact_sigma,671:LHandIn,False,False,True,False,False
29553,29553,246.275,246.275,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RThighSide,False,False,True,False,False
29561,29561,246.3417,246.3417,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RShoulderTop,False,False,True,False,False
29563,29566,246.3583,246.3833,0.025,GAP_GE_0P2,gaps_over_0p2,671:RShoulderTop,False,True,False,False,False
29567,29567,246.3917,246.3917,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:RShoulderTop;671:RUArmHigh,False,True,True,False,False
29568,29574,246.4,246.45,0.05,GAP_GE_0P2,gaps_over_0p2,671:RShoulderTop,False,True,False,False,False
29575,29575,246.4583,246.4583,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:RShoulderTop;671:RUArmHigh,False,True,True,False,False
29576,29576,246.4667,246.4667,0.0,GAP_GE_0P2,gaps_over_0p2,671:RShoulderTop,False,True,False,False,False
29577,29577,246.475,246.475,0.0,GAP_GE_0P2;ARTIFACT_SIGMA,artifact_sigma,671:RShoulderTop;671:RUArmHigh,False,True,True,False,False
29578,29596,246.4833,246.6333,0.15,GAP_GE_0P2,gaps_over_0p2,671:RShoulderTop,False,True,False,False,False
29598,29598,246.65,246.65,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RFArm;671:RHeel;671:RToeOut,False,False,True,False,False
29612,29612,246.7667,246.7667,0.0,SEGMENT_SWAP,segment_swap,671:RFArm;ChestLow__ChestTop,False,False,False,True,False
29614,29614,246.7833,246.7833,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RFArm;671:RThighSide,False,False,True,False,False
29658,29658,247.15,247.15,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RHandIn,False,False,True,False,False
29693,29694,247.4417,247.45,0.0083,SEGMENT_SWAP,segment_swap,RHandIn__RHandOut;RHandIn__RWristOut,False,False,False,True,False
29708,29708,247.5667,247.5667,0.0,ARTIFACT_SIGMA,artifact_sigma,671:ChestTop;671:RFArm,False,False,True,False,False
29713,29713,247.6083,247.6083,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RFArm;671:RHandIn;671:RShoulderTop,False,False,True,False,False
29716,29716,247.6333,247.6333,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RFArm;671:RHandIn;671:RShin,False,False,True,False,False
29734,29734,247.7833,247.7833,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RThighFront;671:RThighSide,False,False,True,False,False
29740,29740,247.8333,247.8333,0.0,ARTIFACT_SIGMA,artifact_sigma,671:WaistRFront,False,False,True,False,False
29752,29752,247.9333,247.9333,0.0,ARTIFACT_SIGMA,artifact_sigma,671:RShoulderTop,False,False,True,False,False
29825,29826,248.5417,248.55,0.0083,SEGMENT_SWAP,segment_swap,LHandIn__LHandOut,False,False,False,True,False
29827,29828,248.5583,248.5667,0.0083,ARTIFACT_SIGMA,artifact_sigma,671:LHandIn;671:RHandIn,False,False,True,False,False
