source_bone_name,has_complete_xyzw_columns,total_frames,finite_row_count,non_finite_row_count,missing_x_count,missing_y_count,missing_z_count,missing_w_count,complete_xyzw_row_count,complete_xyzw_percent,min_norm,max_norm,mean_norm,median_norm,std_norm,max_abs_norm_error,norm_outside_tolerance_count,norm_outside_tolerance_percent,zero_norm_count,near_zero_norm_count,invalid_row_count,first_invalid_row_index,last_invalid_row_index,first_invalid_frame,last_invalid_frame,invalid_gap_count,longest_invalid_gap_length,qc_status,qc_fail_reasons,qc_warning_reasons,stage05_may_proceed
671:RMiddle2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991211126137,1.0000009329810648,1.000000031819925,1.0000000331324996,2.914126440534369e-07,9.32981064849514e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RMiddle3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991187401116,1.0000008922381018,1.0000000343572495,1.0000000353554994,2.9171651640928424e-07,8.922381018461323e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RPinky1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991534221416,1.0000008857256077,1.0000000296223404,1.0000000312114994,2.932937184974942e-07,8.857256077465792e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RPinky2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991215606142,1.000000980850519,1.0000000313788804,1.0000000302594994,2.910202035302674e-07,9.808505190278538e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RPinky3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991796146634,1.0000009321920655,1.0000000319337905,1.0000000323234997,2.9089560624667504e-07,9.321920655391835e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RRing1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991158451091,1.0000009068350888,1.0000000321541622,1.0000000315869995,2.91827468718367e-07,9.068350887986298e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RRing2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991149381083,1.0000008780846146,1.0000000324236444,1.0000000329449994,2.9141015779409363e-07,8.850618916644848e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RRing3,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991625896493,1.0000009104185856,1.000000032098006,1.0000000311864996,2.9036728507486196e-07,9.104185856312341e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RShin,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999991047890994,1.000000818564165,1.000000038974661,1.0000000393159993,2.9123807531605553e-07,8.952109006310494e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RShoulder,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992988547542,1.0000008230941613,1.0000000405035845,1.0000000423564992,2.928466195797295e-07,8.230941612730192e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThigh,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999992867102456,1.0000007850681918,1.0000000402608875,1.0000000410324992,2.9086648118635244e-07,7.850681917886959e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThumb1,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999990964700919,1.00000092721507,1.0000000299810055,1.0000000301704994,2.9075421481696965e-07,9.27215070056775e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
671:RThumb2,True,30235,30235,0,0,0,0,0,30235,100.0,0.9999990651345629,1.0000009004850945,1.0000000319832911,1.0000000327874994,2.9002768168866205e-07,9.348654370633369e-07,0,0.0,0,0,0,,,,,0,0,pass,,,True
