gap_id,marker_name,is_labeled,is_unlabeled,body_region_group,gap_start_frame,gap_end_frame,gap_start_time_seconds,gap_end_time_seconds,duration_frames,duration_seconds,thresholds_crossed,severity_label,prev_valid_frame,next_valid_frame,touches_start_or_end,recommended_status
G000105,671:RIndex,True,False,fingers,3553,3553,29.608333333333334,29.608333333333334,1,0.008333333333333333,,single_frame,3552.0,3554.0,False,document
G000106,671:RIndex,True,False,fingers,3564,3564,29.7,29.7,1,0.008333333333333333,,single_frame,3563.0,3565.0,False,document
G000107,671:RIndex,True,False,fingers,3575,3575,29.791666666666668,29.791666666666668,1,0.008333333333333333,,single_frame,3574.0,3576.0,False,document
G000108,671:RIndex,True,False,fingers,3586,3588,29.883333333333333,29.9,3,0.025,tiny,tiny,3585.0,3589.0,False,document
G000109,671:RIndex,True,False,fingers,3591,3593,29.925,29.941666666666666,3,0.025,tiny,tiny,3590.0,3594.0,False,document
G000110,671:RIndex,True,False,fingers,3595,3597,29.958333333333332,29.975,3,0.025,tiny,tiny,3594.0,3598.0,False,document
G000111,671:RIndex,True,False,fingers,3599,3602,29.991666666666667,30.016666666666666,4,0.03333333333333333,tiny,tiny,3598.0,3603.0,False,document
G000112,671:RIndex,True,False,fingers,3604,3604,30.033333333333335,30.033333333333335,1,0.008333333333333333,,single_frame,3603.0,3605.0,False,document
G000113,671:RIndex,True,False,fingers,4422,4422,36.85,36.85,1,0.008333333333333333,,single_frame,4421.0,4423.0,False,document
G000114,671:RIndex,True,False,fingers,4424,4441,36.86666666666667,37.00833333333333,18,0.15,tiny;minor,minor,4423.0,4442.0,False,document
G000115,671:RIndex,True,False,fingers,6958,6969,57.983333333333334,58.075,12,0.1,tiny;minor,minor,6957.0,6970.0,False,document
G000116,671:RIndex,True,False,fingers,7159,7170,59.65833333333333,59.75,12,0.1,tiny;minor,minor,7158.0,7171.0,False,document
G000117,671:RIndex,True,False,fingers,7230,7230,60.25,60.25,1,0.008333333333333333,,single_frame,7229.0,7231.0,False,document
G000118,671:RIndex,True,False,fingers,7234,7234,60.28333333333333,60.28333333333333,1,0.008333333333333333,,single_frame,7233.0,7235.0,False,document
G000119,671:RIndex,True,False,fingers,7499,7500,62.49166666666667,62.5,2,0.016666666666666666,,tiny,7498.0,7501.0,False,document
G000120,671:RIndex,True,False,fingers,7811,7811,65.09166666666667,65.09166666666667,1,0.008333333333333333,,single_frame,7810.0,7812.0,False,document
G000121,671:RIndex,True,False,fingers,9512,9513,79.26666666666667,79.275,2,0.016666666666666666,,tiny,9511.0,9514.0,False,document
G000122,671:RIndex,True,False,fingers,11445,11445,95.375,95.375,1,0.008333333333333333,,single_frame,11444.0,11446.0,False,document
G000123,671:RIndex,True,False,fingers,11449,11449,95.40833333333333,95.40833333333333,1,0.008333333333333333,,single_frame,11448.0,11450.0,False,document
G000124,671:RIndex,True,False,fingers,11457,11457,95.475,95.475,1,0.008333333333333333,,single_frame,11456.0,11458.0,False,document
G000125,671:RIndex,True,False,fingers,11618,11626,96.81666666666666,96.88333333333334,9,0.075,tiny,tiny,11617.0,11627.0,False,document
G000126,671:RIndex,True,False,fingers,11783,11787,98.19166666666666,98.225,5,0.041666666666666664,tiny,tiny,11782.0,11788.0,False,document
G000127,671:RIndex,True,False,fingers,12604,12604,105.03333333333333,105.03333333333333,1,0.008333333333333333,,single_frame,12603.0,12605.0,False,document
G000128,671:RIndex,True,False,fingers,14260,14268,118.83333333333333,118.9,9,0.075,tiny,tiny,14259.0,14269.0,False,document
G000129,671:RIndex,True,False,fingers,14644,14646,122.03333333333333,122.05,3,0.025,tiny,tiny,14643.0,14647.0,False,document
G000130,671:RIndex,True,False,fingers,14806,14810,123.38333333333334,123.41666666666667,5,0.041666666666666664,tiny,tiny,14805.0,14811.0,False,document
G000131,671:RIndex,True,False,fingers,14887,14919,124.05833333333334,124.325,33,0.275,tiny;minor;moderate,moderate,14886.0,14920.0,False,caution
G000132,671:RIndex,True,False,fingers,14923,14925,124.35833333333333,124.375,3,0.025,tiny,tiny,14922.0,14926.0,False,document
G000133,671:RIndex,True,False,fingers,15065,15069,125.54166666666667,125.575,5,0.041666666666666664,tiny,tiny,15064.0,15070.0,False,document
G000134,671:RIndex,True,False,fingers,15071,15071,125.59166666666667,125.59166666666667,1,0.008333333333333333,,single_frame,15070.0,15072.0,False,document
G000135,671:RIndex,True,False,fingers,15079,15111,125.65833333333333,125.925,33,0.275,tiny;minor;moderate,moderate,15078.0,15112.0,False,caution
G000136,671:RIndex,True,False,fingers,16000,16006,133.33333333333334,133.38333333333333,7,0.058333333333333334,tiny,tiny,15999.0,16007.0,False,document
G000137,671:RIndex,True,False,fingers,16168,16183,134.73333333333332,134.85833333333332,16,0.13333333333333333,tiny;minor,minor,16167.0,16184.0,False,document
G000138,671:RIndex,True,False,fingers,16389,16405,136.575,136.70833333333334,17,0.14166666666666666,tiny;minor,minor,16388.0,16406.0,False,document
G000139,671:RIndex,True,False,fingers,17077,17087,142.30833333333334,142.39166666666668,11,0.09166666666666666,tiny,tiny,17076.0,17088.0,False,document
G000140,671:RIndex,True,False,fingers,17268,17269,143.9,143.90833333333333,2,0.016666666666666666,,tiny,17267.0,17270.0,False,document
G000141,671:RIndex,True,False,fingers,18140,18141,151.16666666666666,151.175,2,0.016666666666666666,,tiny,18139.0,18142.0,False,document
G000142,671:RIndex,True,False,fingers,18621,18621,155.175,155.175,1,0.008333333333333333,,single_frame,18620.0,18622.0,False,document
G000143,671:RIndex,True,False,fingers,19796,19808,164.96666666666667,165.06666666666666,13,0.10833333333333334,tiny;minor,minor,19795.0,19809.0,False,document
G000144,671:RIndex,True,False,fingers,19810,19813,165.08333333333334,165.10833333333332,4,0.03333333333333333,tiny,tiny,19809.0,19814.0,False,document
G000145,671:RIndex,True,False,fingers,19815,19815,165.125,165.125,1,0.008333333333333333,,single_frame,19814.0,19816.0,False,document
G000146,671:RIndex,True,False,fingers,20123,20123,167.69166666666666,167.69166666666666,1,0.008333333333333333,,single_frame,20122.0,20124.0,False,document
G000147,671:RIndex,True,False,fingers,20125,20125,167.70833333333334,167.70833333333334,1,0.008333333333333333,,single_frame,20124.0,20126.0,False,document
G000148,671:RIndex,True,False,fingers,20131,20131,167.75833333333333,167.75833333333333,1,0.008333333333333333,,single_frame,20130.0,20132.0,False,document
G000149,671:RIndex,True,False,fingers,20137,20137,167.80833333333334,167.80833333333334,1,0.008333333333333333,,single_frame,20136.0,20138.0,False,document
G000150,671:RIndex,True,False,fingers,20533,20535,171.10833333333332,171.125,3,0.025,tiny,tiny,20532.0,20536.0,False,document
G000151,671:RIndex,True,False,fingers,20537,20538,171.14166666666668,171.15,2,0.016666666666666666,,tiny,20536.0,20539.0,False,document
G000152,671:RIndex,True,False,fingers,21254,21255,177.11666666666667,177.125,2,0.016666666666666666,,tiny,21253.0,21256.0,False,document
G000153,671:RIndex,True,False,fingers,21278,21278,177.31666666666666,177.31666666666666,1,0.008333333333333333,,single_frame,21277.0,21279.0,False,document
G000154,671:RIndex,True,False,fingers,21284,21284,177.36666666666667,177.36666666666667,1,0.008333333333333333,,single_frame,21283.0,21285.0,False,document
G000155,671:RIndex,True,False,fingers,21288,21288,177.4,177.4,1,0.008333333333333333,,single_frame,21287.0,21289.0,False,document
G000156,671:RIndex,True,False,fingers,21582,21583,179.85,179.85833333333332,2,0.016666666666666666,,tiny,21581.0,21584.0,False,document
G000157,671:RIndex,True,False,fingers,21592,21592,179.93333333333334,179.93333333333334,1,0.008333333333333333,,single_frame,21591.0,21593.0,False,document
G000158,671:RIndex,True,False,fingers,22198,22202,184.98333333333332,185.01666666666668,5,0.041666666666666664,tiny,tiny,22197.0,22203.0,False,document
G000159,671:RIndex,True,False,fingers,22425,22426,186.875,186.88333333333333,2,0.016666666666666666,,tiny,22424.0,22427.0,False,document
G000160,671:RIndex,True,False,fingers,22535,22535,187.79166666666666,187.79166666666666,1,0.008333333333333333,,single_frame,22534.0,22536.0,False,document
G000161,671:RIndex,True,False,fingers,22993,22996,191.60833333333332,191.63333333333333,4,0.03333333333333333,tiny,tiny,22992.0,22997.0,False,document
G000162,671:RIndex,True,False,fingers,23185,23189,193.20833333333334,193.24166666666667,5,0.041666666666666664,tiny,tiny,23184.0,23190.0,False,document
G000163,671:RIndex,True,False,fingers,23191,23191,193.25833333333333,193.25833333333333,1,0.008333333333333333,,single_frame,23190.0,23192.0,False,document
G000164,671:RIndex,True,False,fingers,23507,23520,195.89166666666668,196.0,14,0.11666666666666667,tiny;minor,minor,23506.0,23521.0,False,document
G000165,671:RIndex,True,False,fingers,25207,25211,210.05833333333334,210.09166666666667,5,0.041666666666666664,tiny,tiny,25206.0,25212.0,False,document
G000166,671:RIndex,True,False,fingers,26046,26046,217.05,217.05,1,0.008333333333333333,,single_frame,26045.0,26047.0,False,document
G000167,671:RIndex,True,False,fingers,26695,26695,222.45833333333334,222.45833333333334,1,0.008333333333333333,,single_frame,26694.0,26696.0,False,document
