marker_name,is_labeled,is_unlabeled,body_region_group,n_total_frames,n_valid_frames,n_missing_frames,missing_percent,n_gaps_total,n_single_frame_gaps,longest_gap_frames,longest_gap_seconds,mean_gap_frames,median_gap_frames,n_gaps_ge_0p025s,n_gaps_ge_0p1s,n_gaps_ge_0p2s,n_gaps_ge_0p5s,n_gaps_ge_1p0s,first_missing_frame,last_missing_frame,quality_label,quality_reason
671:LToeOut,True,False,foot,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LToeTip,True,False,foot,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LUArmHigh,True,False,shoulder_upper_arm,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:LWristOut,True,False,wrist_hand,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RAnkleOut,True,False,shank_ankle,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RElbowOut,True,False,elbow_forearm,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RFArm,True,False,shoulder_upper_arm,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RHandIn,True,False,wrist_hand,30356,30271,85,0.280011,22,14,28,0.233333,3.863636,1.0,5,2,1,0,0,13159.0,29656.0,clean,Within clean thresholds.
671:RHandOut,True,False,wrist_hand,30356,30355,1,0.003294,1,1,1,0.008333,1.0,1.0,0,0,0,0,0,16396.0,16396.0,clean,Within clean thresholds.
671:RHeel,True,False,foot,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RIndex,True,False,fingers,30356,30017,339,1.116748,75,31,33,0.275,4.52,2.0,33,9,2,0,0,3553.0,29712.0,minor_issue,Within minor-issue thresholds.
671:RKneeOut,True,False,thigh_knee,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RPinky,True,False,fingers,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RShin,True,False,shank_ankle,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
671:RShoulderBack,True,False,torso_chest_back,30356,30356,0,0.0,0,0,0,0.0,,,0,0,0,0,0,,,clean,Within clean thresholds.
