source_bone_name,canonical_bone_name,component,column_index,flat_name
T3_671:LThigh,LThigh,Z,333,col0333__Bone__T3_671_LThigh__Rotation__Z
T3_671:LThigh,LThigh,W,334,col0334__Bone__T3_671_LThigh__Rotation__W
T3_671:LShin,LShin,X,338,col0338__Bone__T3_671_LShin__Rotation__X
T3_671:LShin,LShin,Y,339,col0339__Bone__T3_671_LShin__Rotation__Y
T3_671:LShin,LShin,Z,340,col0340__Bone__T3_671_LShin__Rotation__Z
T3_671:LShin,LShin,W,341,col0341__Bone__T3_671_LShin__Rotation__W
T3_671:LFoot,LFoot,X,345,col0345__Bone__T3_671_LFoot__Rotation__X
T3_671:LFoot,LFoot,Y,346,col0346__Bone__T3_671_LFoot__Rotation__Y
T3_671:LFoot,LFoot,Z,347,col0347__Bone__T3_671_LFoot__Rotation__Z
T3_671:LFoot,LFoot,W,348,col0348__Bone__T3_671_LFoot__Rotation__W
T3_671:LToe,LToe,X,352,col0352__Bone__T3_671_LToe__Rotation__X
T3_671:LToe,LToe,Y,353,col0353__Bone__T3_671_LToe__Rotation__Y
T3_671:LToe,LToe,Z,354,col0354__Bone__T3_671_LToe__Rotation__Z
T3_671:LToe,LToe,W,355,col0355__Bone__T3_671_LToe__Rotation__W
T3_671:RThigh,RThigh,X,359,col0359__Bone__T3_671_RThigh__Rotation__X
T3_671:RThigh,RThigh,Y,360,col0360__Bone__T3_671_RThigh__Rotation__Y
T3_671:RThigh,RThigh,Z,361,col0361__Bone__T3_671_RThigh__Rotation__Z
T3_671:RThigh,RThigh,W,362,col0362__Bone__T3_671_RThigh__Rotation__W
T3_671:RShin,RShin,X,366,col0366__Bone__T3_671_RShin__Rotation__X
T3_671:RShin,RShin,Y,367,col0367__Bone__T3_671_RShin__Rotation__Y
T3_671:RShin,RShin,Z,368,col0368__Bone__T3_671_RShin__Rotation__Z
T3_671:RShin,RShin,W,369,col0369__Bone__T3_671_RShin__Rotation__W
T3_671:RFoot,RFoot,X,373,col0373__Bone__T3_671_RFoot__Rotation__X
T3_671:RFoot,RFoot,Y,374,col0374__Bone__T3_671_RFoot__Rotation__Y
T3_671:RFoot,RFoot,Z,375,col0375__Bone__T3_671_RFoot__Rotation__Z
T3_671:RFoot,RFoot,W,376,col0376__Bone__T3_671_RFoot__Rotation__W
T3_671:RToe,RToe,X,380,col0380__Bone__T3_671_RToe__Rotation__X
T3_671:RToe,RToe,Y,381,col0381__Bone__T3_671_RToe__Rotation__Y
T3_671:RToe,RToe,Z,382,col0382__Bone__T3_671_RToe__Rotation__Z
T3_671:RToe,RToe,W,383,col0383__Bone__T3_671_RToe__Rotation__W
