frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
25150,209.583333,False,False,False,False,False,
25151,209.591667,False,False,False,False,False,
25152,209.6,False,False,False,False,False,
25153,209.608333,False,False,False,False,False,
25154,209.616667,False,False,False,False,False,
25155,209.625,False,False,False,False,False,
25156,209.633333,False,False,False,False,False,
25157,209.641667,False,False,False,False,False,
25158,209.65,False,False,False,False,False,
25159,209.658333,False,False,False,False,False,
25160,209.666667,False,False,False,False,False,
25161,209.675,False,False,False,False,False,
25162,209.683333,False,False,False,False,False,
25163,209.691667,False,False,False,False,False,
25164,209.7,False,False,False,False,False,
25165,209.708333,False,False,False,False,False,
25166,209.716667,False,False,False,False,False,
25167,209.725,False,False,False,False,False,
25168,209.733333,False,False,False,False,False,
25169,209.741667,False,False,False,False,False,
25170,209.75,False,False,False,False,False,
25171,209.758333,False,False,False,False,False,
25172,209.766667,False,False,False,False,False,
25173,209.775,False,False,False,False,False,
25174,209.783333,False,False,False,False,False,
25175,209.791667,False,False,False,False,False,
25176,209.8,False,False,False,False,False,
25177,209.808333,False,False,False,False,False,
25178,209.816667,False,False,False,False,False,
25179,209.825,False,False,False,False,False,
25180,209.833333,False,False,False,False,False,
25181,209.841667,False,False,False,False,False,
25182,209.85,False,False,False,False,False,
25183,209.858333,False,False,False,False,False,
25184,209.866667,False,False,False,False,False,
25185,209.875,False,False,False,False,False,
25186,209.883333,False,False,False,False,False,
25187,209.891667,False,False,False,False,False,
25188,209.9,False,False,False,False,False,
25189,209.908333,False,False,False,False,False,
25190,209.916667,False,False,False,False,False,
25191,209.925,False,False,False,False,False,
25192,209.933333,False,False,False,False,False,
25193,209.941667,False,False,False,False,False,
25194,209.95,False,False,False,False,False,
25195,209.958333,False,False,False,False,False,
25196,209.966667,False,False,False,False,False,
25197,209.975,False,False,False,False,False,
25198,209.983333,False,False,False,False,False,
25199,209.991667,False,False,False,False,False,
25200,210.0,False,False,False,False,False,
25201,210.008333,False,False,False,False,False,
25202,210.016667,False,False,False,False,False,
25203,210.025,False,False,False,False,False,
25204,210.033333,False,False,False,False,False,
25205,210.041667,False,False,False,False,False,
25206,210.05,False,False,False,False,False,
25207,210.058333,False,False,False,False,False,
25208,210.066667,False,False,False,False,False,
25209,210.075,False,False,False,False,False,
25210,210.083333,False,False,False,False,False,
25211,210.091667,False,False,False,False,False,
25212,210.1,False,False,False,False,False,
25213,210.108333,False,False,False,False,False,
25214,210.116667,False,False,False,False,False,
25215,210.125,False,False,False,False,False,
25216,210.133333,False,False,False,False,False,
25217,210.141667,False,False,False,False,False,
25218,210.15,False,False,False,False,False,
25219,210.158333,False,False,False,False,False,
25220,210.166667,False,False,False,False,False,
25221,210.175,False,False,False,False,False,
25222,210.183333,False,False,False,False,False,
25223,210.191667,False,False,False,False,False,
25224,210.2,False,False,False,False,False,
25225,210.208333,False,False,False,False,False,
25226,210.216667,False,False,False,False,False,
25227,210.225,False,False,False,False,False,
25228,210.233333,False,False,False,False,False,
25229,210.241667,False,False,False,False,False,
25230,210.25,False,False,False,False,False,
25231,210.258333,False,False,False,False,False,
25232,210.266667,False,False,False,False,False,
25233,210.275,False,False,False,False,False,
25234,210.283333,False,False,False,False,False,
25235,210.291667,False,False,False,False,False,
25236,210.3,False,False,False,False,False,
25237,210.308333,False,False,False,False,False,
25238,210.316667,False,False,False,False,False,
25239,210.325,False,False,False,False,False,
25240,210.333333,False,False,False,False,False,
25241,210.341667,False,False,False,False,False,
25242,210.35,False,False,False,False,False,
25243,210.358333,False,False,False,False,False,
25244,210.366667,False,False,False,False,False,
25245,210.375,False,False,False,False,False,
25246,210.383333,False,False,False,False,False,
25247,210.391667,False,False,False,False,False,
25248,210.4,False,False,False,False,False,
25249,210.408333,False,False,False,False,False,
25250,210.416667,False,False,False,False,False,
25251,210.425,False,False,False,False,False,
25252,210.433333,False,False,False,False,False,
25253,210.441667,False,False,False,False,False,
25254,210.45,False,False,False,False,False,
25255,210.458333,False,False,False,False,False,
25256,210.466667,False,False,False,False,False,
25257,210.475,False,False,False,False,False,
25258,210.483333,False,False,False,False,False,
25259,210.491667,False,False,False,False,False,
25260,210.5,False,False,False,False,False,
25261,210.508333,False,False,False,False,False,
25262,210.516667,False,False,False,False,False,
25263,210.525,False,False,False,False,False,
25264,210.533333,False,False,False,False,False,
25265,210.541667,False,False,False,False,False,
25266,210.55,False,False,False,False,False,
25267,210.558333,False,False,False,False,False,
25268,210.566667,False,False,False,False,False,
25269,210.575,False,False,False,False,False,
25270,210.583333,False,False,False,False,False,
25271,210.591667,False,False,False,False,False,
25272,210.6,False,False,False,False,False,
25273,210.608333,False,False,False,False,False,
25274,210.616667,False,False,False,False,False,
25275,210.625,False,False,False,False,False,
25276,210.633333,False,False,False,False,False,
25277,210.641667,False,False,False,False,False,
25278,210.65,False,False,False,False,False,
25279,210.658333,False,False,False,False,False,
25280,210.666667,False,False,False,False,False,
25281,210.675,False,False,False,False,False,
25282,210.683333,False,False,False,False,False,
25283,210.691667,False,False,False,False,False,
25284,210.7,False,False,False,False,False,
25285,210.708333,False,False,False,False,False,
25286,210.716667,False,False,False,False,False,
25287,210.725,False,False,False,False,False,
25288,210.733333,False,False,False,False,False,
25289,210.741667,False,False,False,False,False,
25290,210.75,False,False,False,False,False,
25291,210.758333,False,False,False,False,False,
25292,210.766667,False,False,False,False,False,
25293,210.775,False,False,False,False,False,
25294,210.783333,False,False,False,False,False,
25295,210.791667,False,False,False,False,False,
25296,210.8,False,False,False,False,False,
25297,210.808333,False,False,False,False,False,
25298,210.816667,False,False,False,False,False,
25299,210.825,False,False,False,False,False,
25300,210.833333,False,False,False,False,False,
25301,210.841667,False,False,False,False,False,
25302,210.85,False,False,False,False,False,
25303,210.858333,False,False,False,False,False,
25304,210.866667,False,False,False,False,False,
25305,210.875,False,False,False,False,False,
25306,210.883333,False,False,False,False,False,
25307,210.891667,False,False,False,False,False,
25308,210.9,False,False,False,False,False,
25309,210.908333,False,False,False,False,False,
25310,210.916667,False,False,False,False,False,
25311,210.925,False,False,False,False,False,
25312,210.933333,False,False,False,False,False,
25313,210.941667,False,False,False,False,False,
25314,210.95,False,False,False,False,False,
25315,210.958333,False,False,False,False,False,
25316,210.966667,False,False,False,False,False,
25317,210.975,False,False,False,False,False,
25318,210.983333,False,False,False,False,False,
25319,210.991667,False,False,False,False,False,
25320,211.0,False,False,False,False,False,
25321,211.008333,False,False,False,False,False,
25322,211.016667,False,False,False,False,False,
25323,211.025,False,False,False,False,False,
25324,211.033333,False,False,False,False,False,
25325,211.041667,False,False,False,False,False,
25326,211.05,False,False,False,False,False,
25327,211.058333,False,False,False,False,False,
25328,211.066667,False,False,False,False,False,
25329,211.075,False,False,False,False,False,
25330,211.083333,False,False,False,False,False,
25331,211.091667,False,False,False,False,False,
25332,211.1,False,False,False,False,False,
25333,211.108333,False,False,False,False,False,
25334,211.116667,False,False,False,False,False,
25335,211.125,False,False,False,False,False,
25336,211.133333,False,False,False,False,False,
25337,211.141667,False,False,False,False,False,
25338,211.15,False,False,False,False,False,
25339,211.158333,False,False,False,False,False,
25340,211.166667,False,False,False,False,False,
25341,211.175,False,False,False,False,False,
25342,211.183333,False,False,False,False,False,
25343,211.191667,False,False,False,False,False,
25344,211.2,False,False,False,False,False,
25345,211.208333,False,False,False,False,False,
25346,211.216667,False,False,False,False,False,
25347,211.225,False,False,False,False,False,
25348,211.233333,False,False,False,False,False,
25349,211.241667,False,False,False,False,False,
25350,211.25,False,False,False,False,False,
25351,211.258333,False,False,False,False,False,
25352,211.266667,False,False,False,False,False,
25353,211.275,False,False,False,False,False,
25354,211.283333,False,False,False,True,False,SEGMENT_SWAP
25355,211.291667,False,False,False,True,False,SEGMENT_SWAP
25356,211.3,False,False,False,True,False,SEGMENT_SWAP
25357,211.308333,False,False,False,True,False,SEGMENT_SWAP
25358,211.316667,False,False,False,True,False,SEGMENT_SWAP
25359,211.325,False,False,False,True,False,SEGMENT_SWAP
25360,211.333333,False,False,False,True,False,SEGMENT_SWAP
25361,211.341667,False,False,False,True,False,SEGMENT_SWAP
25362,211.35,False,False,False,True,False,SEGMENT_SWAP
25363,211.358333,False,False,False,True,False,SEGMENT_SWAP
25364,211.366667,False,False,False,False,False,
